*Node
32, 29, 30
33, 30, 31
34, 32, 31
35, 32, 33
36, 33, 34
37, 34, 35
38, 35, 36
39, 36, 37
40, 37, 38
41, 38, 39
42, 40, 39
43, 11, 40
44, 10, 41
45, 41, 42
46, 42, 43
47, 43, 44
48, 44, 22
49, 45, 22
50, 46, 45
51, 46, 47
52, 47, 22
53, 16, 11
54, 16, 48
55, 48, 49
56, 49, 14
57, 13, 50
58, 50, 51
59, 51, 52
60, 52, 53
61, 53, 54
62, 54, 55
63, 55, 56
64, 56, 57
65, 57, 58
66, 59, 58
67, 60, 59
68, 60, 61
69, 62, 61
70, 63, 62
71, 63, 64
72, 65, 64
73, 65, 66
74, 66, 63
75, 14, 63
76, 44, 17
77, 17, 21
78, 67, 21
79, 18, 67
80, 62, 14
81, 18, 62
82, 22, 68
83, 22, 69
84, 69, 70
85, 70, 71
86, 72, 71
87, 70, 72
88, 70, 59
89, 68, 23
90, 68, 73
91, 74, 73
92, 71, 74
93, 75, 26
94, 76, 75
95, 23, 76
96, 77, 23
97, 73, 77
98, 28, 78
 99, 78, 44
100, 31, 79
101, 79, 34
102, 37, 32
103, 40, 37
104, 11, 37
105, 11, 80
106, 80, 81
107, 81, 82
108, 83, 82
109, 84, 83
110, 85, 84
111, 86, 85
112, 39, 86
113, 81, 40
114, 87, 10
115, 87, 88
116, 88, 89
117, 89, 90
118, 90, 78
119, 18, 46
120, 46, 91
121, 91, 92
122, 92, 59
123, 93, 13
124, 50, 94
125, 94, 80
126, 80, 95
127, 50, 95
128, 81, 52
129, 96, 53
130, 58, 96
131, 97, 96
132, 97, 98
133, 98, 60
134, 61, 99
135, 99, 63
136, 64, 52
137, 97, 65
138, 61, 18
139, 70, 68
140, 100,  69
141,  69, 101
142, 101,  91
143, 102,  72
144, 103, 102
145,  70, 103
146, 76, 28
147, 31, 87
148, 11, 93
149, 81, 85
150,  82, 104
151, 81, 84
152,  91, 100
153,  98, 105
154, 105,  61
155, 104, 103
*Boundary
3, 1, 2
7, 1, 2
11, 1, 2
22, 1, 2
29, 1, 2
30, 1, 2
42, 1, 2
55, 1, 2
56, 1, 2
62, 1, 2
70, 1, 2
78, 1, 2
81, 1, 2
87, 1, 2
89, 1, 2
96, 1, 2
97, 1, 2
99, 1, 2
104, 1, 2
1, 1, 1
5, 1, 1
9, 1, 1
17, 1, 1
25, 1, 1
26, 1, 1
27, 1, 1
34, 1, 1
35, 1, 1
53, 1, 1
58, 1, 1
79, 1, 1
13, 2, 2
16, 2, 2
19, 2, 2
21, 2, 2
46, 2, 2
49, 2, 2
50, 2, 2
66, 2, 2
74, 2, 2
83, 2, 2
86, 2, 2
91, 2, 2
102, 2, 2
105, 2, 2
*Cload
86, 1, -0.02
74, 1, 0.02
88, 1, 0.
88, 2, 0.1
90, 1, 0.
90, 2, 0.1
54, 2, -0.02
57, 2, -0.02
53, 2, 0.01
58, 2, 0.01
